author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction
ID 85604823,unknown,https://www.cian.ru/sale/flat/307014462/,Москва,sale,flat,6,42,1,42.0,26000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
Tekta Group,developer,https://www.cian.ru/sale/flat/303506216/,Москва,sale,flat,9,34,2,39.2,17918320.0,Нагорный,,2,Нагорная,Твелв ЖК,,
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305275545/,Москва,sale,flat,11,20,3,117.1,46500000.0,Свиблово,проезд Серебрякова,11к1,Ботанический сад,Silver,,
Sminex,developer,https://www.cian.ru/sale/flat/308620442/,Москва,sale,flat,3,26,2,61.54,31220000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307703173/,Москва,sale,flat,6,22,2,85.0,50000000.0,Пресненский,Шмитовский проезд,16С2,Москва-Сити,Шмитовский 16,,
UNIQ Development,developer,https://www.cian.ru/sale/flat/307668235/,Москва,sale,flat,3,25,2,64.3,50154000.0,Фили-Давыдково,Малая Филевская ,46,Кунцевская,Springs,,
Светлана Анисимова,realtor,https://www.cian.ru/sale/flat/308703083/,Москва,sale,flat,21,31,2,55.7,21990000.0,Богородское,Тюменский проезд,3к1,Бульвар Рокоссовского,Преображение,,
MR Group,developer,https://www.cian.ru/sale/flat/306603287/,Москва,sale,flat,3,36,2,68.6,48137992.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,43.0,26900000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence,,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308878043/,Москва,sale,flat,13,21,3,76.1,76000000.0,Пресненский,2-я Черногрязская ,6к4,Улица 1905 года,RedSide,,
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/301012836/,Москва,sale,flat,4,14,3,116.0,87000000.0,Дорогомилово,набережная Тараса Шевченко,1,Киевская,,,
Доступный дом,real_estate_agent,https://www.cian.ru/sale/flat/293926786/,Москва,sale,flat,3,17,1,35.4,14990000.0,, Эдварда Грига,15,Потапово,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303848561/,Москва,sale,flat,8,29,3,80.0,36900000.0,Раменки,Мосфильмовская ,74Б,Ломоносовский проспект,Мосфильмовская,,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/307566350/,Москва,sale,flat,2,16,3,74.0,17800000.0,Орехово-Борисово Северное,Каширское шоссе,90к1,Домодедовская,,,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/307817649/,Москва,sale,flat,4,25,3,81.0,22900000.0,Рязанский, Васильцовский Стан,7к1,Текстильщики,,,
Альберт Аванесян,realtor,https://www.cian.ru/sale/flat/307156518/,Москва,sale,flat,5,13,2,59.8,16350000.0,Марьино,Новомарьинская ,4,Марьино,,,
Ю-Питер,real_estate_agent,https://www.cian.ru/sale/flat/308901152/,Москва,sale,flat,14,16,2,50.5,14000000.0,Отрадное, Бестужевых,13,Отрадное,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307587007/,Москва,sale,flat,5,5,3,92.4,75000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,,,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/305913436/,Москва,sale,flat,19,23,2,71.7,30990000.0,Басманный,набережная Академика Туполева,15,Бауманская,Каскад,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307962802/,Москва,sale,flat,9,38,3,70.0,32000000.0,Хорошевский,Хорошевское шоссе,12к1,Беговая,Дом на Беговой,,
MR Group,developer,https://www.cian.ru/sale/flat/300287890/,Москва,sale,flat,5,43,2,57.89,29356019.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306947550/,Москва,sale,flat,3,6,3,72.0,30000000.0,Тверской,Новослободская ,73К3,Савёловская,,,
RMRealty,real_estate_agent,https://www.cian.ru/sale/flat/307967977/,Москва,sale,flat,3,14,3,93.0,64900000.0,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden,,
MR Group,developer,https://www.cian.ru/sale/flat/306610643/,Москва,sale,flat,2,59,2,31.1,,Можайский,,,Давыдково,Веер ЖК,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303766764/,Москва,sale,flat,2,4,3,137.9,275110500.0,Хамовники,Пречистенская набережная,7,Парк Культуры,Кленовый DOM,,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308352419/,Москва,sale,flat,5,7,3,75.0,41500000.0,Басманный, Земляной Вал,34С4,Курская,,,
PIONEER,developer,https://www.cian.ru/sale/flat/306809947/,Москва,sale,flat,2,22,2,45.8,23267700.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва,sale,flat,2,21,2,57.23,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,
ID 285016,homeowner,https://www.cian.ru/sale/flat/307877352/,Москва,sale,flat,19,21,2,51.0,26600000.0,Очаково-Матвеевское, Малая Очаковская,4Ак1,Озёрная,Мичуринский парк,,
Пионер,developer,https://www.cian.ru/sale/flat/307217514/,Москва,sale,flat,4,39,2,35.4,31667318.0,Даниловский,,,Павелецкая,Хай Лайф ЖК,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307822693/,Москва,sale,flat,9,18,2,66.4,69700000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/293666231/,Москва,sale,flat,20,43,3,84.2,37500000.0,Хорошево-Мневники,Шелепихинская набережная,34к7,Шелепиха,Сердце Столицы,,
EraOneHolding,developer,https://www.cian.ru/sale/flat/305196550/,Москва,sale,flat,7,8,2,121.8,141031579.0,Арбат, Арбат,24,Смоленская,Turandot Residences,,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/291925257/,Москва,sale,flat,3,9,3,148.5,189000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,
Антон Белов,realtor,https://www.cian.ru/sale/flat/297215041/,Москва,sale,flat,13,14,1,39.0,17600000.0,Таганский,переулок Ковров,1,Москва-Товарная,,,
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640098/,Москва,sale,flat,3,49,2,58.94,23988580.0,Марьина роща,,,Марьина Роща,Тэйт ЖК,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/304304141/,Москва,sale,flat,7,18,3,89.7,98000000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308872984/,Москва,sale,flat,24,36,3,82.4,75000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк,,
Sense Development,developer,https://www.cian.ru/sale/flat/306043638/,Москва,sale,flat,10,13,2,64.5,38046348.0,Даниловский, Даниловский Вал,1А,Тульская,Logos,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,154000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/303387198/,Москва,sale,flat,18,22,1,30.0,11700000.0,,бульвар Андрея Тарковского,11,Рассказовка,Рассказово,,
MR Group,developer,https://www.cian.ru/sale/flat/308088531/,Москва,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE,,
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679729/,Москва,sale,flat,9,20,2,59.0,25370000.0,Даниловский,,,Тульская,Форст ЖК,,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307986637/,Москва,sale,flat,11,14,1,35.0,13900000.0,Раменки,1-й Сетуньский проезд,10,Кутузовская,,,
VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,117936000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya,,
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/304330107/,Москва,sale,flat,11,14,3,242.97,328500000.0,Хамовники, Усачева,11,Спортивная,Садовые кварталы,,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308346343/,Москва,sale,flat,19,22,3,114.7,63500000.0,Донской, Вавилова,2,Ленинский проспект,Нескучный сад,,
Киноцентр,developer,https://www.cian.ru/sale/flat/308070371/,Москва,sale,flat,4,20,2,45.2,42036000.0,Пресненский, Красная Пресня,3,Краснопресненская,SkyView,,
ID 16625995,unknown,https://www.cian.ru/sale/flat/308279472/,Москва,sale,flat,7,8,3,115.0,31250000.0,Куркино,Ландышевая ,14К3,Химки,,,
ID 52825739,homeowner,https://www.cian.ru/sale/flat/307814530/,Москва,sale,flat,7,15,2,46.5,23900000.0,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер,,
Группа Родина,developer,https://www.cian.ru/sale/flat/305476395/,Москва,sale,flat,5,19,2,42.3,23067380.0,Можайский,,,Давыдково,Родина Парк ЖК,,
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/300298619/,Москва,sale,flat,8,12,3,136.5,102000000.0,Раменки, Сергея Бондарчука,4,Мичуринский проспект,Река,,
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/305593868/,Москва,sale,flat,5,24,3,107.6,50000000.0,Таганский,Марксистская ,7,Пролетарская,,,
Sminex,developer,https://www.cian.ru/sale/flat/306342049/,Москва,sale,flat,2,10,3,147.5,372260000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк ,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/282555064/,Москва,sale,flat,2,18,3,70.0,29950000.0,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь,,
VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,82172522.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306151519/,Москва,sale,flat,5,8,3,123.0,74800000.0,Тверской,Сущевская ,31,Менделеевская,,,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/308629847/,Москва,sale,flat,26,41,2,46.0,21500000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,,
СТ Тауэрс,developer,https://www.cian.ru/sale/flat/308919134/,Москва,sale,flat,2,78,2,54.9,46939500.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308657569/,Москва,sale,flat,6,7,3,150.3,186000000.0,Пресненский,Садовая-Кудринская ,8-10-12,Баррикадная,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299611000/,Москва,sale,flat,21,36,3,86.5,48900000.0,Хорошево-Мневники,Шелепихинская набережная,34к1зд5,Шелепиха,Сердце Столицы,,
Среда,developer,https://www.cian.ru/sale/flat/303626038/,Москва,sale,flat,3,27,2,55.3,19419590.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307215537/,Москва,sale,flat,3,14,3,138.9,236130000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,,
Webster,real_estate_agent,https://www.cian.ru/sale/flat/307945716/,Москва,sale,flat,3,8,2,55.5,24000000.0,Ломоносовский, Строителей,7К1,Университет,,,
MR Group,developer,https://www.cian.ru/sale/flat/308399369/,Москва,sale,flat,5,11,2,75.79,56842500.0,Филевский парк,,,Фили,Фили Сити ЖК,,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/304519685/,Москва,sale,flat,39,41,2,56.9,39000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,
ID 94542124,homeowner,https://www.cian.ru/sale/flat/308767223/,Москва,sale,flat,5,18,2,39.9,22500000.0,Левобережный,Фестивальная ,15К4,Речной вокзал,Фестиваль парк-2,,
Ташир,developer,https://www.cian.ru/sale/flat/274701470/,Москва,sale,flat,12,17,2,44.4,28704600.0,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305909779/,Москва,sale,flat,6,10,2,178.1,150000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300342112/,Москва,sale,flat,40,51,3,78.0,37200000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56",,
Ташир,developer,https://www.cian.ru/sale/flat/302722377/,Москва,sale,flat,3,16,2,47.4,22190784.0,Даниловский,Малая Тульская ,2,Тульская,DECO RESIDENCE (Апартаменты премиум-класса),,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/304737194/,Москва,sale,flat,3,21,3,92.2,98285200.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky,,
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307091345/,Москва,sale,flat,16,17,1,35.1,16800000.0,Ярославский,Ярославское шоссе,51,ВДНХ,Я51,,
Sminex,developer,https://www.cian.ru/sale/flat/294328857/,Москва,sale,flat,3,6,2,124.3,270980000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305274218/,Москва,sale,flat,2,5,2,84.63,139639500.0,Басманный,Потаповский переулок,6С1,Чистые пруды,Абрикосов,,
Domopolis,real_estate_agent,https://chernogolovka.cian.ru/sale/flat/303153117/,Черноголовка,sale,flat,4,10,1,35.0,4300000.0,Черноголовка,Коммунальная ,3,,,,
Ольга Дроздова,realtor,https://chernogolovka.cian.ru/sale/flat/308549058/,Черноголовка,sale,flat,8,10,3,94.8,17700000.0,Черноголовка, Солнечная,4,,,,
ID 99921160,homeowner,https://chernogolovka.cian.ru/sale/flat/305695950/,Черноголовка,sale,flat,8,9,4,110.6,22500000.0,Черноголовка,Школьный бульвар,7,,,,
Ольга Дроздова,realtor,https://chernogolovka.cian.ru/sale/flat/307704814/,Черноголовка,sale,flat,4,9,3,62.4,7900000.0,Черноголовка,Центральная ,18,,,,
Ольга Дроздова,realtor,https://chernogolovka.cian.ru/sale/flat/304480567/,Черноголовка,sale,flat,7,9,2,41.0,5700000.0,Черноголовка, Первая,2Б,,,,
ЭТАЖИ Электросталь,real_estate_agent,https://chernogolovka.cian.ru/sale/flat/308757297/,Черноголовка,sale,flat,10,17,2,52.0,7100000.0,Черноголовка,Школьный бульвар,18,,,,
Ольга Дроздова,realtor,https://chernogolovka.cian.ru/sale/flat/304574481/,Черноголовка,sale,flat,3,4,4,87.6,11000000.0,Черноголовка,Институтский проспект,8,,,,
Ольга Дроздова,realtor,https://chernogolovka.cian.ru/sale/flat/307704581/,Черноголовка,sale,flat,4,9,3,57.8,6500000.0,Черноголовка,Центральная ,12,,,,
СТОЛИЦА. Москва и МО,real_estate_agent,https://chernogolovka.cian.ru/sale/flat/308809779/,Черноголовка,sale,flat,1,9,3,51.1,6800000.0,,Центральная ,12,Щёлковская,,,
Ольга Дроздова,realtor,https://chernogolovka.cian.ru/sale/flat/307743445/,Черноголовка,sale,flat,1,9,1,31.3,4350000.0,Черноголовка,Центральная ,10А,,,,
ИП Шакарян Э.А.,real_estate_agent,https://chernogolovka.cian.ru/sale/flat/303007861/,Черноголовка,sale,flat,15,17,2,68.0,10400000.0,,,,,,,
ID 118751191,homeowner,https://chernogolovka.cian.ru/sale/flat/304330183/,Черноголовка,sale,flat,4,9,2,49.1,5900000.0,Черноголовка,Школьный бульвар,19,,,,
ID 38368720,homeowner,https://chernogolovka.cian.ru/sale/flat/307888886/,Черноголовка,sale,flat,1,7,1,44.7,6480000.0,Черноголовка,Береговая ,18А,,,,
ID 123198639,homeowner,https://chernogolovka.cian.ru/sale/flat/308640849/,Черноголовка,sale,flat,4,9,3,57.6,7000000.0,Черноголовка,проезд Строителей,6,,,,
ID 96776859,homeowner,https://chernogolovka.cian.ru/sale/flat/304240059/,Черноголовка,sale,flat,2,10,2,49.8,8500000.0,Черноголовка, Солнечная,2,,,,
ID 121016005,homeowner,https://chernogolovka.cian.ru/sale/flat/306510808/,Черноголовка,sale,flat,2,10,1,47.6,7650000.0,Черноголовка, Солнечная,2,,,,
ID 83547481,homeowner,https://chernogolovka.cian.ru/sale/flat/304215938/,Черноголовка,sale,flat,9,9,3,65.2,11100000.0,Черноголовка,Центральная ,8,,,,
ID 114507590,homeowner,https://chernogolovka.cian.ru/sale/flat/301025294/,Черноголовка,sale,flat,8,9,3,93.6,19900000.0,Черноголовка,Береговая ,22,,,,
ID 120100854,homeowner,https://chernogolovka.cian.ru/sale/flat/305677644/,Черноголовка,sale,flat,3,9,3,58.0,7000000.0,Черноголовка,проезд Строителей,8,,,,
ID 121165451,homeowner,https://chernogolovka.cian.ru/sale/flat/306705066/,Черноголовка,sale,flat,5,9,2,44.0,5100000.0,Черноголовка,проезд Строителей,8,,,,
ID 84122396,homeowner,https://chernogolovka.cian.ru/sale/flat/284970320/,Черноголовка,sale,flat,17,17,1,39.4,6500000.0,Черноголовка,Школьный бульвар,14,,,,
Ирина Уткина,realtor,https://chernogolovka.cian.ru/sale/flat/307404013/,Черноголовка,sale,flat,1,9,1,33.0,3900000.0,Черноголовка,проезд Строителей,8,,,,
Михаил Канаков,realtor,https://dubna.cian.ru/sale/flat/307736997/,Черноголовка,sale,flat,2,14,2,50.7,7000000.0,Дубна, В.И. Векслера,11,,,,
Est-a-Tet – Вторичная недвижимость,real_estate_agent,https://noginsk.cian.ru/sale/flat/308830709/,Черноголовка,sale,flat,11,17,2,55.8,6300000.0,Ногинск, 3-го Интернационала,39,,,,
ЛИДЕР,real_estate_agent,https://noginsk.cian.ru/sale/flat/304253454/,Черноголовка,sale,flat,6,9,3,59.7,6190000.0,Ногинск, Комсомольская,76,,,,
ID 55719015,unknown,https://www.cian.ru/sale/flat/307012734/,Москва,sale,flat,2,5,4,166.3,99000000.0,Академический, Дмитрия Ульянова,31,Академическая,Пирамида,,
Dominanta,developer,https://www.cian.ru/sale/flat/304842271/,Москва,sale,flat,16,34,2,56.1,36913800.0,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,hideOUT,,
Донстрой,developer,https://www.cian.ru/sale/flat/306760385/,Москва,sale,flat,2,16,2,85.4,61402600.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,,
Sminex,developer,https://www.cian.ru/sale/flat/306154917/,Москва,sale,flat,2,23,2,77.6,86100000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК,,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/292444827/,Москва,sale,flat,7,8,4,200.0,110000000.0,Тверской,Сущевская ,31,Менделеевская,,,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196512/,Москва,sale,flat,4,20,2,36.0,14260428.0,Головинский,Михалковская ,48С4,Коптево,Михалковский,,
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/293030412/,Москва,sale,flat,3,9,4,225.7,169275000.0,Арбат,Филипповский переулок,8С1,Кропоткинская,Филипповский,,
Hutton Development,developer,https://www.cian.ru/sale/flat/305627324/,Москва,sale,flat,4,17,2,88.1,51098000.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar,,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/305913440/,Москва,sale,flat,4,9,3,61.6,18990000.0,Северное Измайлово,16-я Парковая ,49К2,Щёлковская,,,
Основа,developer,https://www.cian.ru/sale/flat/287741366/,Москва,sale,flat,10,13,2,50.0,29946000.0,Замоскворечье,Большой Строченовский переулок,9,Павелецкая,Резиденции Замоскворечье,,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/303533444/,Москва,sale,flat,20,29,4,92.9,29500000.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet,,
Донстрой,developer,https://www.cian.ru/sale/flat/308371188/,Москва,sale,flat,2,49,2,69.7,30486780.0,Раменки,Кинематографический кв-л,,Мичуринский проспект,Событие ЖК,,
Мангазея,developer,https://www.cian.ru/sale/flat/308903203/,Москва,sale,flat,6,41,2,64.8,32937840.0,Даниловский,Большая Тульская ,10С5,Тульская,Мангазея на Тульской,,
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,23274675.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2,,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/305913433/,Москва,sale,flat,13,23,3,96.0,45900000.0,Басманный,набережная Академика Туполева,15,Бауманская,Каскад,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308105474/,Москва,sale,flat,2,4,4,212.1,490000000.0,Раменки,Минская ,2Вк5,Минская,Снегири Эко,,
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/291342956/,Москва,sale,flat,6,6,4,169.0,90000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307116678/,Москва,sale,flat,4,8,4,132.0,91000000.0,Мещанский,Большой Сухаревский переулок,11,Сухаревская,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295368854/,Москва,sale,flat,4,6,4,192.0,105000000.0,Тверской, Малая Дмитровка,23/15С1,Пушкинская,,,
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938661/,Одинцово,sale,flat,9,24,2,48.24,12313501.0,,,,Одинцово,Одинбург,,
ID 21997931,homeowner,https://odintsovo.cian.ru/sale/flat/299333079/,Одинцово,sale,flat,15,20,3,86.0,15500000.0,, Белорусская,10,Одинцово,Одинцовский Парк,,
Ваши Соседи Торги,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308064557/,Одинцово,sale,flat,10,20,1,37.1,5850000.0,, Кутузовская,3,Сколково,,,
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938596/,Одинцово,sale,flat,2,24,1,36.3,9822236.0,,,,Одинцово,Одинбург,,
Homeapp,real_estate_agent,https://odintsovo.cian.ru/sale/flat/294625744/,Одинцово,sale,flat,17,25,3,63.9,12500000.0,,Вокзальная ,31,Одинцово,Сердце Одинцово,,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308783096/,Одинцово,sale,flat,17,24,1,44.7,7400000.0,, Чистяковой,,Сколково,,,
Вектор,developer,https://odintsovo.cian.ru/sale/flat/305609500/,Одинцово,sale,flat,4,19,2,55.0,11570000.0,,,,Одинцово,Союзный ЖК,,
Homeapp,real_estate_agent,https://odintsovo.cian.ru/sale/flat/297759271/,Одинцово,sale,flat,25,25,4,130.0,25699999.0,, Сколковская,9А,Сколково,Сколковский,,
МИР СН,real_estate_agent,https://odintsovo.cian.ru/sale/flat/303472026/,Одинцово,sale,flat,4,4,1,35.0,5000000.0,,Молодежная ,1Б,Одинцово,,,
